分类,疾病,文件名,来源,编号/页码,许可,出处/供图,像素,链接
三、非典型病原体、立克次体、螺旋体,支原体感染相关皮疹,mirm_pmc01_PMC12268180.jpg,PMC,PMC12268180,CC BY,Anais brasileiros de dermatologia 2025,759x564,https://pmc.ncbi.nlm.nih.gov/articles/PMC12268180/
三、非典型病原体、立克次体、螺旋体,支原体感染相关皮疹,mirm_pmc02_PMC12718623.jpg,PMC,PMC12718623,CC BY,Cureus 2025,750x369,https://pmc.ncbi.nlm.nih.gov/articles/PMC12718623/
三、非典型病原体、立克次体、螺旋体,恙虫病,scrub_pmc00_PMC13189720.jpg,PMC,PMC13189720,CC BY,Frontiers in medicine 2026,767x250,https://pmc.ncbi.nlm.nih.gov/articles/PMC13189720/
三、非典型病原体、立克次体、螺旋体,恙虫病,scrub_pmc01_PMC13173588.jpg,PMC,PMC13173588,CC BY,Cureus 2026,750x1000,https://pmc.ncbi.nlm.nih.gov/articles/PMC13173588/
三、非典型病原体、立克次体、螺旋体,斑疹伤寒,typhus_18837.jpg,PHIL,18837,None - This image is in the public domain.,CDC/ Dr. D.S. Martin,2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=18837
三、非典型病原体、立克次体、螺旋体,斑疹伤寒,typhus_18838.jpg,PHIL,18838,None - This image is in the public domain.,CDC/ Dr. D.S. Martin,2400x1580,https://wwwn.cdc.gov/PHIL/Details.aspx?pid=18838
三、非典型病原体、立克次体、螺旋体,二期梅毒,syphilis_book00_p235.jpg,教材,p235,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x603,
四、真菌相关,念珠菌 / 播散性真菌感染,candida_book00_p117.jpg,教材,p117,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x668,
五、药物相关性（高发）,发疹型药疹,drug_book00_p142.jpg,教材,p142,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,473x355,
五、药物相关性（高发）,SJS / 中毒性表皮坏死松解症,sjs_book00_p143.jpg,教材,p143,版权所有 · 人民卫生出版社,皮肤性病学（第10版）· 张学军、崔勇、高兴华 主编 · 人民卫生出版社 2024,898x296,
五、药物相关性（高发）,DRESS 综合征,dress_pmc00_PMC13036578.jpg,PMC,PMC13036578,CC BY,Cureus 2026,750x881,https://pmc.ncbi.nlm.nih.gov/articles/PMC13036578/
五、药物相关性（高发）,DRESS 综合征,dress_pmc01_PMC13036473.jpg,PMC,PMC13036473,CC BY,Cureus 2026,750x690,https://pmc.ncbi.nlm.nih.gov/articles/PMC13036473/
五、药物相关性（高发）,DRESS 综合征,dress_pmc02_PMC13036473.jpg,PMC,PMC13036473,CC BY,Cureus 2026,750x911,https://pmc.ncbi.nlm.nih.gov/articles/PMC13036473/
